product_name,brand_id,locale,category_id,category,product_brand
Wireless Noise Cancelling Headphones,201,en_us,301,electronics,SoundWave
Cold Brew Coffee Concentrate 32oz,202,en_us,302,coffee,MorningRoast
iPhone 15 Pro 128GB,203,en_us,303,iphone,Apple
Organic Cheddar Cheese Block 8oz,204,en_us,304,cheese,Green Valley
Stainless Steel Water Bottle 750ml,,en_us,305,kitchen accessories,HydroFlow
Pale Ale Craft Beer 6-Pack,205,en_us,306,beer,Northgate Brewing
Whole Wheat Pasta 500g,206,en_us,307,pasta,Bella Terra
Kids Building Blocks Set 200pcs,207,en_us,308,games,BrickWorks
Paperback Mystery Novel,208,en_us,309,books,Harborline Press
Smart TV 55 Inch 4K,209,en_us,310,tv,VistaVision
Red Wine Cabernet Sauvignon 750ml,210,en_us,311,wine,Oakridge Cellars
Android Tablet 10 Inch,211,en_us,312,tablet,PixelTab
Toilet Paper 12 Rolls,,en_us,313,toilet paper,SoftCloud
Fresh Salmon Fillet 400g,212,en_us,314,fish,OceanCatch
Almond Milk 1L,213,en_us,315,milk,PureHarvest
