product_name,brand_id,locale,category_id,category,product_brand
Cuffie Bluetooth Wireless,201,it_it,301,electronics,SoundWave
Caffè Macinato Espresso 250g,202,it_it,302,caffè,MorningRoast
Formaggio Pecorino Stagionato,204,it_it,304,formaggio,La Mancha Dorada
Vino Rosso Riserva 750ml,210,it_it,311,vino,Oakridge Cellars
Birra Artigianale Confezione Da 6,205,it_it,306,birra,Northgate Brewing
Pasta Integrale 500g,206,it_it,307,pasta,Bella Terra
Giochi Da Tavolo Per Famiglie,207,it_it,308,giochi,BrickWorks
Libro Tascabile Giallo,208,it_it,309,libri,Harborline Press
Smart Tv 55 Pollici 4K,209,it_it,310,tv,VistaVision
Tablet Android 10 Pollici,211,it_it,312,tablet,PixelTab
Carta Igienica 12 Rotoli,,it_it,313,carta igienica,SoftCloud
Filetto Di Salmone Fresco 400g,212,it_it,314,pesce,OceanCatch
Latte Di Mandorla 1L,213,it_it,315,latte,PureHarvest
iPhone 15 Pro 128GB,203,it_it,303,iphone,Apple
